type,Species,Tissue,CellType,Cancer,Source,SupportedSources,Details,Cell Marker
0,Human,Pancreas,Acinarcell,Normal,Experiment,1,moredetails,BMI1
1,Human,Pancreas,Acinarcell,Normal,Single-cellsequencing,1,moredetails,PRSS1
2,Human,Pancreaticislet,Acinarcell,Normal,Single-cellsequencing,1,moredetails,AADAC
2,Human,Pancreaticislet,Acinarcell,Normal,Single-cellsequencing,1,moredetails,AKR1B10
2,Human,Pancreaticislet,Acinarcell,Normal,Single-cellsequencing,1,moredetails,AKR1C1
2,Human,Pancreaticislet,Acinarcell,Normal,Single-cellsequencing,1,moredetails,AKR1C2
2,Human,Pancreaticislet,Acinarcell,Normal,Single-cellsequencing,1,moredetails,AKR1C3
2,Human,Pancreaticislet,Acinarcell,Normal,Single-cellsequencing,1,moredetails,AKR7A3
2,Human,Pancreaticislet,Acinarcell,Normal,Single-cellsequencing,1,moredetails,ALB
2,Human,Pancreaticislet,Acinarcell,Normal,Single-cellsequencing,1,moredetails,ALDOB
2,Human,Pancreaticislet,Acinarcell,Normal,Single-cellsequencing,1,moredetails,AMY2A
2,Human,Pancreaticislet,Acinarcell,Normal,Single-cellsequencing,1,moredetails,AMY2B
2,Human,Pancreaticislet,Acinarcell,Normal,Single-cellsequencing,1,moredetails,AMYP1
2,Human,Pancreaticislet,Acinarcell,Normal,Single-cellsequencing,1,moredetails,ANPEP
2,Human,Pancreaticislet,Acinarcell,Normal,Single-cellsequencing,1,moredetails,AQP8
2,Human,Pancreaticislet,Acinarcell,Normal,Single-cellsequencing,1,moredetails,AZGP1
2,Human,Pancreaticislet,Acinarcell,Normal,Single-cellsequencing,1,moredetails,BCAT1
2,Human,Pancreaticislet,Acinarcell,Normal,Single-cellsequencing,1,moredetails,C15orf48
2,Human,Pancreaticislet,Acinarcell,Normal,Single-cellsequencing,1,moredetails,C4B
2,Human,Pancreaticislet,Acinarcell,Normal,Single-cellsequencing,1,moredetails,CA12
2,Human,Pancreaticislet,Acinarcell,Normal,Single-cellsequencing,1,moredetails,CBS
2,Human,Pancreaticislet,Acinarcell,Normal,Single-cellsequencing,1,moredetails,CEL
2,Human,Pancreaticislet,Acinarcell,Normal,Single-cellsequencing,1,moredetails,CELA2A
2,Human,Pancreaticislet,Acinarcell,Normal,Single-cellsequencing,1,moredetails,CELA3A
2,Human,Pancreaticislet,Acinarcell,Normal,Single-cellsequencing,1,moredetails,CELA3B
2,Human,Pancreaticislet,Acinarcell,Normal,Single-cellsequencing,1,moredetails,CLPS
2,Human,Pancreaticislet,Acinarcell,Normal,Single-cellsequencing,1,moredetails,CPA1
2,Human,Pancreaticislet,Acinarcell,Normal,Single-cellsequencing,1,moredetails,CPA2
2,Human,Pancreaticislet,Acinarcell,Normal,Single-cellsequencing,1,moredetails,CPB1
2,Human,Pancreaticislet,Acinarcell,Normal,Single-cellsequencing,1,moredetails,CTRB1
2,Human,Pancreaticislet,Acinarcell,Normal,Single-cellsequencing,1,moredetails,CTRB2
2,Human,Pancreaticislet,Acinarcell,Normal,Single-cellsequencing,1,moredetails,CTRC
2,Human,Pancreaticislet,Acinarcell,Normal,Single-cellsequencing,1,moredetails,CTRL
2,Human,Pancreaticislet,Acinarcell,Normal,Single-cellsequencing,1,moredetails,CUZD1
2,Human,Pancreaticislet,Acinarcell,Normal,Single-cellsequencing,1,moredetails,CXCL17
2,Human,Pancreaticislet,Acinarcell,Normal,Single-cellsequencing,1,moredetails,DPEP1
2,Human,Pancreaticislet,Acinarcell,Normal,Single-cellsequencing,1,moredetails,DUOX2
2,Human,Pancreaticislet,Acinarcell,Normal,Single-cellsequencing,1,moredetails,DUOXA2
2,Human,Pancreaticislet,Acinarcell,Normal,Single-cellsequencing,1,moredetails,ECE2
2,Human,Pancreaticislet,Acinarcell,Normal,Single-cellsequencing,1,moredetails,EFHD2
2,Human,Pancreaticislet,Acinarcell,Normal,Single-cellsequencing,1,moredetails,ERP27
2,Human,Pancreaticislet,Acinarcell,Normal,Single-cellsequencing,1,moredetails,FAM129A
2,Human,Pancreaticislet,Acinarcell,Normal,Single-cellsequencing,1,moredetails,FGL1
2,Human,Pancreaticislet,Acinarcell,Normal,Single-cellsequencing,1,moredetails,GALNT7
2,Human,Pancreaticislet,Acinarcell,Normal,Single-cellsequencing,1,moredetails,GNL3
2,Human,Pancreaticislet,Acinarcell,Normal,Single-cellsequencing,1,moredetails,GP2
2,Human,Pancreaticislet,Acinarcell,Normal,Single-cellsequencing,1,moredetails,GPT2
2,Human,Pancreaticislet,Acinarcell,Normal,Single-cellsequencing,1,moredetails,GSTA1
2,Human,Pancreaticislet,Acinarcell,Normal,Single-cellsequencing,1,moredetails,GSTA2
2,Human,Pancreaticislet,Acinarcell,Normal,Single-cellsequencing,1,moredetails,HAMP
2,Human,Pancreaticislet,Acinarcell,Normal,Single-cellsequencing,1,moredetails,IL32
2,Human,Pancreaticislet,Acinarcell,Normal,Single-cellsequencing,1,moredetails,KCTD14
2,Human,Pancreaticislet,Acinarcell,Normal,Single-cellsequencing,1,moredetails,KLK1
2,Human,Pancreaticislet,Acinarcell,Normal,Single-cellsequencing,1,moredetails,LGALS2
2,Human,Pancreaticislet,Acinarcell,Normal,Single-cellsequencing,1,moredetails,LYZ
2,Human,Pancreaticislet,Acinarcell,Normal,Single-cellsequencing,1,moredetails,MAT1A
2,Human,Pancreaticislet,Acinarcell,Normal,Single-cellsequencing,1,moredetails,MGST1
2,Human,Pancreaticislet,Acinarcell,Normal,Single-cellsequencing,1,moredetails,MUC1
2,Human,Pancreaticislet,Acinarcell,Normal,Single-cellsequencing,1,moredetails,NFKBIA
